Théo	NAM	Théo
ne	ADV	ne
sait	VER:pres	savoir
pas	ADV	pas
quoi	PRO:REL	quoi
faire	VER:infi	faire
pour	PRP	pour
sa	DET:POS	son
rédaction	NOM	rédaction
.	SENT	.
Un	DET:ART	un
jour	NOM	jour
sa	DET:POS	son
mère	NOM	mère
se	PRO:PER	se
coupa	VER:simp	couper
le	DET:ART	le
doigt	NOM	doigt
.	SENT	.
Il	PRO:PER	il
y	PRO:PER	y
eut	VER:simp	avoir
plein	ADJ	plein
de	PRP	de
sang	NOM	sang
sur	PRP	sur
la	DET:ART	le
nappe	NOM	nappe
.	SENT	.
Il	PRO:PER	il
eut	VER:simp	avoir
un	DET:ART	un
9	NUM	@card@
/	PUN	/
10.	VER:ppre	@ord@
Le	DET:ART	le
deuxième	NUM	deuxième
dimanche	NOM	dimanche
,	PUN	,
il	PRO:PER	il
poussa	VER:simp	pousser
sa	DET:POS	son
soeur	NOM	sœur
dans	PRP	dans
les	DET:ART	le
escaliers	NOM	escalier
.	SENT	.
